"filename", "language", "PHP", "SCSS", "JavaScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\laragon\www\MinaPorcoIntegrador\public\assets\css\material-dashboard.css", "PostCSS", 0, 0, 0, 18335, 0, 36, 3700, 22071
"c:\laragon\www\MinaPorcoIntegrador\public\assets\css\material-dashboard.min.css", "PostCSS", 0, 0, 0, 1, 0, 13, 0, 14
"c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\dashboard\core\bootstrap\scss\bootstrap-grid.css", "PostCSS", 0, 0, 0, 1452, 0, 7, 416, 1875
"c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\dashboard\core\bootstrap\scss\bootstrap-reboot.css", "PostCSS", 0, 0, 0, 281, 0, 8, 57, 346
"c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\dashboard\core\bootstrap\scss\bootstrap.css", "PostCSS", 0, 0, 0, 7334, 0, 7, 1697, 9038
"c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\kit\core\bootstrap\scss\bootstrap-grid.css", "PostCSS", 0, 0, 0, 1452, 0, 7, 416, 1875
"c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\kit\core\bootstrap\scss\bootstrap-reboot.css", "PostCSS", 0, 0, 0, 281, 0, 8, 57, 346
"c:\laragon\www\MinaPorcoIntegrador\public\assets\css\partials\kit\core\bootstrap\scss\bootstrap.css", "PostCSS", 0, 0, 0, 7334, 0, 7, 1697, 9038
"c:\laragon\www\MinaPorcoIntegrador\public\assets\css\test\material-dashboard.css", "PostCSS", 0, 0, 0, 18335, 0, 36, 3696, 22067
"c:\laragon\www\MinaPorcoIntegrador\public\assets\demo\demo.css", "PostCSS", 0, 0, 0, 102, 0, 1, 23, 126
"c:\laragon\www\MinaPorcoIntegrador\public\assets\demo\demo.js", "JavaScript", 0, 0, 164, 0, 0, 2, 9, 175
"c:\laragon\www\MinaPorcoIntegrador\public\assets\js\core\bootstrap-material-design.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1
"c:\laragon\www\MinaPorcoIntegrador\public\assets\js\core\jquery.min.js", "JavaScript", 0, 0, 1, 0, 0, 1, 1, 3
"c:\laragon\www\MinaPorcoIntegrador\public\assets\js\core\popper.min.js", "JavaScript", 0, 0, 785, 0, 0, 4, 46, 835
"c:\laragon\www\MinaPorcoIntegrador\public\assets\js\material-dashboard.js", "JavaScript", 0, 0, 298, 0, 0, 35, 89, 422
"c:\laragon\www\MinaPorcoIntegrador\public\assets\js\material-dashboard.min.js", "JavaScript", 0, 0, 1, 0, 0, 1, 0, 2
"c:\laragon\www\MinaPorcoIntegrador\public\assets\js\plugins\bootstrap-notify.js", "JavaScript", 0, 0, 337, 0, 0, 31, 36, 404
"c:\laragon\www\MinaPorcoIntegrador\public\assets\js\plugins\chartist.min.js", "JavaScript", 0, 0, 2, 0, 0, 6, 2, 10
"c:\laragon\www\MinaPorcoIntegrador\public\assets\js\plugins\perfect-scrollbar.jquery.min.js", "JavaScript", 0, 0, 1, 0, 0, 1, 0, 2
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard.scss", "SCSS", 0, 34, 0, 0, 0, 17, 7, 58
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_alerts.scss", "SCSS", 0, 87, 0, 0, 0, 1, 14, 102
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_buttons.scss", "SCSS", 0, 164, 0, 0, 0, 27, 29, 220
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_cards.scss", "SCSS", 0, 559, 0, 0, 0, 8, 95, 662
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_checkboxes.scss", "SCSS", 0, 184, 0, 0, 0, 4, 23, 211
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_core-bootstrap.scss", "SCSS", 0, 47, 0, 0, 0, 12, 8, 67
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_dark-edition.scss", "SCSS", 0, 21, 0, 0, 0, 18, 19, 58
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_dropdown.scss", "SCSS", 0, 167, 0, 0, 0, 6, 33, 206
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_example-pages.scss", "SCSS", 0, 50, 0, 0, 0, 0, 6, 56
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_fixed-plugin.scss", "SCSS", 0, 300, 0, 0, 0, 1, 33, 334
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_footers.scss", "SCSS", 0, 94, 0, 0, 0, 0, 18, 112
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_forms.scss", "SCSS", 0, 238, 0, 0, 0, 82, 55, 375
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_headers.scss", "SCSS", 0, 72, 0, 0, 0, 0, 12, 84
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_images.scss", "SCSS", 0, 9, 0, 0, 0, 0, 2, 11
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_info-areas.scss", "SCSS", 0, 51, 0, 0, 0, 0, 7, 58
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_input-group.scss", "SCSS", 0, 23, 0, 0, 0, 7, 7, 37
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_misc.scss", "SCSS", 0, 55, 0, 0, 0, 2, 12, 69
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_mixins.scss", "SCSS", 0, 16, 0, 0, 0, 0, 1, 17
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_navbar.scss", "SCSS", 0, 216, 0, 0, 0, 1, 36, 253
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_popover.scss", "SCSS", 0, 45, 0, 0, 0, 0, 9, 54
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_popups.scss", "SCSS", 0, 70, 0, 0, 0, 0, 16, 86
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_radios.scss", "SCSS", 0, 157, 0, 0, 0, 1, 30, 188
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_responsive.scss", "SCSS", 0, 753, 0, 0, 0, 4, 115, 872
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_ripples.scss", "SCSS", 0, 36, 0, 0, 0, 1, 5, 42
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_sidebar-and-main-panel.scss", "SCSS", 0, 349, 0, 0, 0, 0, 59, 408
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_social-buttons.scss", "SCSS", 0, 3, 0, 0, 0, 2, 2, 7
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_tables.scss", "SCSS", 0, 164, 0, 0, 0, 12, 29, 205
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_tabs.scss", "SCSS", 0, 66, 0, 0, 0, 1, 17, 84
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_togglebutton.scss", "SCSS", 0, 72, 0, 0, 0, 6, 8, 86
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_tooltip.scss", "SCSS", 0, 41, 0, 0, 0, 1, 8, 50
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_type.scss", "SCSS", 0, 81, 0, 0, 0, 2, 10, 93
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\_variables.scss", "SCSS", 0, 29, 0, 0, 0, 3, 7, 39
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\bootstrap\scss\_alert.scss", "SCSS", 0, 28, 0, 0, 0, 13, 11, 52
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\bootstrap\scss\_badge.scss", "SCSS", 0, 28, 0, 0, 0, 12, 8, 48
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\bootstrap\scss\_breadcrumb.scss", "SCSS", 0, 27, 0, 0, 0, 8, 4, 39
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\bootstrap\scss\_button-group.scss", "SCSS", 0, 104, 0, 0, 0, 31, 32, 167
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\bootstrap\scss\_buttons.scss", "SCSS", 0, 90, 0, 0, 0, 24, 30, 144
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\bootstrap\scss\_card.scss", "SCSS", 0, 194, 0, 0, 0, 27, 50, 271
"c:\laragon\www\MinaPorcoIntegrador\public\assets\scss\material-dashboard\bootstrap\scss\_carousel.scss", "SCSS", 0, 148, 0, 0, 0, 19, 25, 192
